term,doc_feq,posting_list
...,1,{7: []}
.06,1,{93: []}
.125,1,{2: []}
0.39,1,{1: []}
1,1,{82: []}
1.05,1,{71: []}
1.06,1,{1: []}
1.07,1,{76: []}
1.19,1,{48: []}
1.23,1,{76: []}
1.25,1,{1: []}
1.3043,1,{65: []}
1.34,1,{88: []}
1.35,1,{88: []}
1.5,1,{58: []}
1.50,1,{2: []}
1.80,1,{68: []}
1.93,1,{41: []}
10,8,"{24: [], 25: [], 59: [], 60: [], 78: [], 81: [], 92: [], 98: []}"
10.,1,{31: []}
10.02,1,{50: []}
10.1,1,{17: []}
10.2,2,"{9: [], 74: []}"
10.3,1,{89: []}
10.5,3,"{28: [], 31: [], 61: []}"
10.6,1,{8: []}
10.8,1,{52: []}
100,2,"{31: [], 55: []}"
10053234,1,{57: []}
101316,1,{49: []}
1015800,1,{82: []}
105.3,1,{24: []}
1060848,1,{8: []}
1078,1,{49: []}
108000,2,"{15: [], 21: []}"
109,1,{24: []}
1099778,1,{25: []}
11,6,"{19: [], 31: [], 47: [], 76: [], 89: [], 100: []}"
11.1,1,{89: []}
11.2,1,{64: []}
11.4,1,{72: []}
11.6,1,{61: []}
1100,1,{83: []}
1104472,1,{61: []}
1107000,1,{64: []}
1129000,1,{19: []}
1135000,1,{68: []}
114000,1,{5: []}
114712,2,"{61: [], 62: []}"
1177000,1,{81: []}
118,1,{50: []}
118.7,1,{71: []}
12,4,"{14: [], 47: [], 81: [], 88: []}"
12.0,1,{64: []}
12.3,2,"{9: [], 68: []}"
120,1,{49: []}
1204080,1,{25: []}
123.6,1,{24: []}
124.6,1,{24: []}
12418749,1,{35: []}
125000,1,{17: []}
12544866,1,{35: []}
126117,1,{35: []}
1268847,1,{64: []}
12837088,1,{35: []}
12987834,1,{35: []}
13,7,"{8: [], 16: [], 17: [], 19: [], 25: [], 56: [], 61: []}"
13.16,1,{3: []}
13.5,1,{76: []}
13.6,1,{8: []}
13.7,1,{52: []}
13.82,1,{50: []}
13.9,1,{52: []}
130,1,{24: []}
13000,1,{68: []}
1301000,1,{19: []}
130998,1,{57: []}
1318000,1,{68: []}
1324000,1,{76: []}
1329000,1,{81: []}
134,1,{50: []}
1347000,1,{64: []}
135.7,1,{24: []}
1365655,1,{64: []}
137.2,1,{13: []}
138,1,{50: []}
14,4,"{17: [], 50: [], 75: [], 76: []}"
140000,1,{17: []}
142.4,1,{13: []}
1425000,1,{16: []}
15,5,"{1: [], 32: [], 50: [], 52: [], 78: []}"
15.4,2,"{16: [], 56: []}"
15.7,1,{76: []}
150746,1,{35: []}
155221,1,{1: []}
1568941,1,{57: []}
16,2,"{41: [], 64: []}"
16.3,1,{9: []}
16.6,1,{16: []}
16.74,1,{3: []}
166000,1,{16: []}
168,1,{14: []}
17,2,"{24: [], 59: []}"
17.18,1,{3: []}
17.5,1,{76: []}
